codigo_postal,nombre,tipo,municipio_id,estado_id
21327,Hacienda de los Portales 2da Sección,Fraccionamiento,Mexicali,02
21327,Hacienda de los Portales 4ta. Sección,Fraccionamiento,Mexicali,02
21327,Hacienda de los Portales 5ta. Sección,Fraccionamiento,Mexicali,02
21327,Hacienda de Castilla,Fraccionamiento,Mexicali,02
21327,Hacienda de las Torres,Fraccionamiento,Mexicali,02
21330,Adolfo López Mateos,Colonia,Mexicali,02
21330,Jardines del Lago,Fraccionamiento,Mexicali,02
21330,Las Flores,Fraccionamiento,Mexicali,02
21330,Popular 6 de Enero,Fraccionamiento,Mexicali,02
21337,Televisora,Colonia,Mexicali,02
21339,Santa Mónica,Fraccionamiento,Mexicali,02
21339,Ampliación Jardines del Lago,Colonia,Mexicali,02
21340,Aurora,Colonia,Mexicali,02
21340,Cucapah INFONAVIT,Unidad habitacional,Mexicali,02
21340,Monte Alban,Colonia,Mexicali,02
21350,Conjunto Urbano Esperanza,Colonia,Mexicali,02
21350,Gómez Farías,Colonia,Mexicali,02
21350,Santa Cecilia,Colonia,Mexicali,02
21353,Hacienda del Real,Fraccionamiento,Mexicali,02
21353,Villa del Rey Tercera Etapa,Fraccionamiento,Mexicali,02
21353,Paseos de Xochimilco,Colonia,Mexicali,02
21353,California,Fraccionamiento,Mexicali,02
21353,Villa Esperanza 2000,Fraccionamiento,Mexicali,02
21353,Villa Residencial Venecia,Fraccionamiento,Mexicali,02
21353,El Campanario,Colonia,Mexicali,02
21353,Juventud Deportiva 2000,Fraccionamiento,Mexicali,02
21353,Xochicalli,Fraccionamiento,Mexicali,02
21353,Hacienda Real,Fraccionamiento,Mexicali,02
21353,Lago de Xochimilco,Fraccionamiento,Mexicali,02
21353,Residencial Madrid,Fraccionamiento,Mexicali,02
21353,Ampliación Xichicalli,Fraccionamiento,Mexicali,02
21353,Villa Residencial Venecia 2da Etapa,Fraccionamiento,Mexicali,02
21353,Gran Venecia,Fraccionamiento,Mexicali,02
21353,Terrazas del Sol,Fraccionamiento,Mexicali,02
21353,Residencial Madrid 2da. Sección,Fraccionamiento,Mexicali,02
21354,Villa del Rey Primera Etapa,Fraccionamiento,Mexicali,02
21354,Villa del Rey Segunda Etapa,Fraccionamiento,Mexicali,02
21354,Villa del Rey Cuarta Etapa,Fraccionamiento,Mexicali,02
21354,Gran Hacienda,Fraccionamiento,Mexicali,02
21354,Casa Magna,Fraccionamiento,Mexicali,02
21354,Paseo las Flores,Fraccionamiento,Mexicali,02
21355,Corceles Residencial,Fraccionamiento,Mexicali,02
21355,Villa del Rey Quinta Etapa,Fraccionamiento,Mexicali,02
21355,Zona Urbana del Ejido Xochimilco,Colonia,Mexicali,02
21355,Hacienda del Bosque,Colonia,Mexicali,02
21355,Villa Residencial del Prado,Fraccionamiento,Mexicali,02
21355,Quinta del Rey,Fraccionamiento,Mexicali,02
21355,Villa Lomas Altas,Fraccionamiento,Mexicali,02
21355,Villa las Lomas,Fraccionamiento,Mexicali,02
21355,Villa Lomas Altas 2da. Sección,Fraccionamiento,Mexicali,02
21355,Residencial Quinta del Rey 2da. Etapa,Fraccionamiento,Mexicali,02
21355,Villa Margarita Residencial,Fraccionamiento,Mexicali,02
21355,Quinta Granada,Fraccionamiento,Mexicali,02
21355,Villa Lomas Altas 3era. Sección,Fraccionamiento,Mexicali,02
21355,Quinta Roma (Quinta Córdova),Fraccionamiento,Mexicali,02
21355,Buenos Aires,Fraccionamiento,Mexicali,02
21355,Residencial Quinta del Rey 3era. Etapa,Fraccionamiento,Mexicali,02
21355,Villa Residencial del Prado Segunda Etapa,Fraccionamiento,Mexicali,02
21356,Villa del Sol INFONAVIT,Colonia,Mexicali,02
21360,Ex Ejido Coahuila,Colonia,Mexicali,02
21360,Las Palmas,Colonia,Mexicali,02
21360,Sanchez Taboada,Colonia,Mexicali,02
21360,Margaritas,Zona industrial,Mexicali,02
21360,Privada Coahuila,Fraccionamiento,Mexicali,02
21370,Carbajal,Colonia,Mexicali,02
21370,Lázaro Cárdenas,Colonia,Mexicali,02
21370,Profesores Federales,Colonia,Mexicali,02
21370,Privada Juárez,Fraccionamiento,Mexicali,02
21376,Cerrada Abedul,Fraccionamiento,Mexicali,02
