ID,TIPO_REPORTE_ID,AREA_ID,MEDIO_ID,DIREECION_ID,ZONA DEL ESTADO,TIPO DE DESAPARICION,ESTATUS DE LA PERSONA DESAPARECIDA O NO LOCALIZADA,FECHA DE DESAPARICION,FECHA EN QUE SE PERCATO,FOLIO CEBV
35,5,5,3,35,SUR,,LOCALIZADA CON VIDA,13/05/2023,13/05/2023,23/CI 0319M-23ZS
36,5,5,3,36,SUR,,LOCALIZADA CON VIDA,13/05/2023,13/05/2023,23/CI 0320M-23ZS
37,5,5,3,37,CENTRO,,LOCALIZADA CON VIDA,17/05/2023,17/05/2023,23/CI 0321U-23ZC
38,5,5,3,38,SUR,,NO LOCALIZADA,12/03/2023,12/03/2023,23/CI 0322U-23ZS
39,5,5,3,39,CENTRO,,NO LOCALIZADA,11/05/2023,11/05/2023,23/CI 0323U-23ZC
40,5,5,3,40,CENTRO,,NO LOCALIZADA,04/05/2023,04/05/2023,23/CI 0324M-23ZC
41,5,5,3,41,SUR,,LOCALIZADA CON VIDA,19/05/2023,19/05/2023,23/CI 0325U-23ZS
42,5,5,3,42,CENTRO,,LOCALIZADA CON VIDA,13/05/2023,13/05/2023,23/CI 0326U-23ZC
43,5,5,3,43,SUR,,LOCALIZADA SIN VIDA,19/05/2023,20/05/2023,23/CI 0327U-23ZS
44,5,5,3,44,SUR,,LOCALIZADA CON VIDA,19/05/2023,19/05/2023,23/CI 0328U-23ZS
45,5,5,3,45,CENTRO,,LOCALIZADA CON VIDA,03/05/2023,03/05/2023,23/CI 0329U-23ZC
46,5,5,3,46,CENTRO,,LOCALIZADA CON VIDA,22/05/2023,22/05/2023,23/CI 0330U-23ZC
47,5,5,3,47,CENTRO,,LOCALIZADA CON VIDA,21/05/2023,21/05/2023,23/CI 0331U-23ZC
48,4,5,3,48,SUR,,LOCALIZADA CON VIDA,19/05/2023,19/05/2023,23/CI 0332U-23ZS
49,4,5,3,49,CENTRO,,LOCALIZADA CON VIDA,21/05/2023,21/05/2023,23/CI 0333U-23ZC
50,4,5,3,50,SUR,,NO LOCALIZADA,18/05/2023,18/05/2023,23/CI 0334M-23ZS
51,4,5,3,51,CENTRO,,NO LOCALIZADA,15/05/2023,15/05/2023,23/CI 0335U-23ZC
52,4,5,3,52,CENTRO,,NO LOCALIZADA,19/05/2023,19/05/2023,23/CI 0336U-23ZC
53,4,5,3,53,NORTE,,LOCALIZADA CON VIDA,20/05/2023,20/05/2023,23/CI 0337U-23ZN
54,4,5,3,54,NORTE,,LOCALIZADA CON VIDA,24/05/2023,24/05/2023,23/CI 0338U-23ZN
55,4,5,3,55,CENTRO,,NO LOCALIZADA,12/05/2023,12/05/2023,23/CI 0339U-23ZC
56,4,5,3,56,CENTRO,,LOCALIZADA CON VIDA,24/05/2023,24/05/2023,23/CI 0340U-23ZC
57,4,5,3,57,CENTRO,,LOCALIZADA CON VIDA,11/05/2023,11/05/2023,23/CI 0341U-23ZC
58,4,5,3,58,NORTE,,LOCALIZADA SIN VIDA,22/05/2023,22/05/2023,23/CI 0342U-23ZN
59,4,5,3,59,CENTRO,,NO LOCALIZADA,10/05/2023,25/05/2023,23/CI 0343U-23ZC
60,4,5,3,60,CENTRO,,NO LOCALIZADA,15/05/2023,15/05/2023,23/CI 0344U-23ZC
61,4,5,3,61,CENTRO,,LOCALIZADA CON VIDA,23/05/2023,24/05/2023,23/CI 0345U-23ZC
62,4,5,3,62,CENTRO,,NO LOCALIZADA,16/04/2023,20/04/2023,23/CI 0346U-23ZC
63,4,5,3,63,NORTE,,NO LOCALIZADA,24/05/2023,24/05/2023,23/CI 0347U-23ZN
64,4,5,3,64,CENTRO,,LOCALIZADA CON VIDA,28/05/2023,28/05/2023,23/CI 0348U-23ZC
